Product,Date,Offer,OfferType,Quantity
Product 9,12-18-2017,$ 3.99,F,568.253
Product 9,12-19-2017,$ 3.99,F,581.209
Product 9,12-20-2017,$ 3.99,F,573.317
Product 9,12-21-2017,$ 3.99,F,446.663
Product 9,12-22-2017,$ 3.99,F,439.085
Product 9,12-23-2017,$ 3.99,F,373.178
Product 9,12-24-2017,$ 3.99,F,136.426
Product 9,12-26-2017,,,277.726
Product 9,12-27-2017,,,285.778
Product 9,12-28-2017,,,365.705
Product 9,12-29-2017,,,352.122
Product 9,12-30-2017,,,412.252
Product 9,12-31-2017,,,270.122
Product 9,01-01-2018,,,162.225
Product 9,01-02-2018,,,344.114
Product 9,01-03-2018,,,395.39
Product 9,01-04-2018,,,397.643
Product 9,01-05-2018,,,363.363
Product 9,01-06-2018,,,454.705
Product 9,01-07-2018,,,303.569
Product 9,01-08-2018,,,366.633
Product 9,01-09-2018,,,335.934
Product 9,01-10-2018,,,450.428
Product 9,01-11-2018,,,400.727
Product 9,01-12-2018,,,366.142
Product 9,01-13-2018,,,494.653
Product 9,01-14-2018,,,480.426
Product 9,01-15-2018,,,534.311
Product 9,01-16-2018,,,326.227
Product 9,01-17-2018,,,377.382
Product 9,01-18-2018,,,433.865
Product 9,01-19-2018,,,375.033
Product 9,01-20-2018,,,476.495
Product 9,01-21-2018,,,461
Product 9,01-22-2018,,,496.817
Product 9,01-23-2018,,,455.278
Product 9,01-24-2018,,,498.466
Product 9,01-25-2018,$ 3.99,F,479.957
Product 9,01-26-2018,$ 3.99,F,672.118
Product 9,01-27-2018,$ 3.99,F,709.641
Product 9,01-28-2018,$ 3.99,F,480.454
Product 9,01-29-2018,$ 3.99,F,608.084
Product 9,01-30-2018,$ 3.99,F,676.337
Product 9,01-31-2018,$ 3.99,F,813.788
Product 9,02-01-2018,$ 2.99,F,901.453
Product 9,02-02-2018,$ 2.99,F,964.462
Product 9,02-03-2018,$ 2.99,F,1160.6
Product 9,02-04-2018,$ 3.99,F,448.749
Product 9,02-05-2018,$ 3.99,F,581.98
Product 9,02-06-2018,$ 3.99,F,591.84
Product 9,02-07-2018,$ 3.99,F,577.333
Product 9,02-08-2018,$ 3.99,F,614.913
Product 9,02-09-2018,$ 3.99,F,502.711
Product 9,02-10-2018,$ 3.99,F,875.451
Product 9,02-11-2018,$ 3.99,F,418.912
Product 9,02-12-2018,$ 3.99,F,623.057
Product 9,02-13-2018,$ 3.99,F,547.618
Product 9,02-14-2018,$ 3.99,F,456.02
Product 9,02-15-2018,,,400.877
Product 9,02-16-2018,,,412.713
Product 9,02-17-2018,,,488.897
Product 9,02-18-2018,,,533.782
Product 9,02-19-2018,,,620.948
Product 9,02-20-2018,,,432.554
Product 9,02-21-2018,,,450.886
Product 9,02-22-2018,,,573.702
Product 9,02-23-2018,,,648.625
Product 9,02-24-2018,,,442.415
Product 9,02-25-2018,,,493.041
Product 9,02-26-2018,,,391.829
Product 9,02-27-2018,,,607.139
Product 9,02-28-2018,,,479.012
Product 9,03-01-2018,,,621.289
Product 9,03-02-2018,,,499.924
Product 9,03-03-2018,,,603.445
Product 9,03-04-2018,,,481.921
Product 9,03-05-2018,,,462.897
Product 9,03-06-2018,,,471.176
Product 9,03-07-2018,,,505.125
Product 9,03-08-2018,$ 2.99,F,1058.542
Product 9,03-09-2018,$ 2.99,F,851.181
Product 9,03-10-2018,$ 2.99,F,1430.026
Product 9,03-11-2018,,,422.519
Product 9,03-12-2018,,,459.592
Product 9,03-13-2018,,,338.98
Product 9,03-14-2018,,,363.251
Product 9,03-15-2018,,,556.783
Product 9,03-16-2018,,,517.861
Product 9,03-17-2018,,,495.932
Product 9,03-18-2018,,,472.293
Product 9,03-19-2018,,,367.442
Product 9,03-20-2018,,,427.414
Product 9,03-21-2018,,,377.523
Product 9,03-22-2018,,,359.94
Product 9,03-23-2018,,,590.376
Product 9,03-24-2018,,,547.141
Product 9,03-25-2018,,,380.103
Product 9,03-26-2018,,,525.733
Product 9,03-27-2018,,,392.098
Product 9,03-28-2018,,,442.893
Product 9,03-29-2018,$ 3.99,F,608.908
Product 9,03-30-2018,$ 3.99,F,518.046
Product 9,03-31-2018,$ 3.99,F,676.9
Product 9,04-02-2018,$ 3.99,F,636.359
Product 9,04-03-2018,$ 3.99,F,587.797
Product 9,04-04-2018,$ 3.99,F,752.576
Product 9,04-05-2018,$ 3.99,F,541.3
Product 9,04-06-2018,$ 3.99,F,731.879
Product 9,04-07-2018,$ 3.99,F,753.001
Product 9,04-08-2018,$ 3.99,F,543.93
Product 9,04-09-2018,$ 3.99,F,624.056
Product 9,04-10-2018,$ 3.99,F,630.424
Product 9,04-11-2018,$ 3.99,F,680.906
Product 9,04-12-2018,,,520.513
Product 9,04-13-2018,,,434.28
Product 9,04-14-2018,,,414.477
Product 9,04-15-2018,,,315.945
Product 9,04-16-2018,,,403.508
Product 9,04-17-2018,,,490.166
Product 9,04-18-2018,,,538.728
Product 9,04-19-2018,,,743.723
Product 9,04-20-2018,,,615.061
Product 9,04-21-2018,,,711.19
Product 9,04-22-2018,,,414.183
Product 9,04-23-2018,,,424.565
Product 9,04-24-2018,,,382.958
Product 9,04-25-2018,,,566.411
Product 9,04-26-2018,,,461.817
Product 9,04-27-2018,,,432.336
Product 9,04-28-2018,,,441.804
Product 9,04-29-2018,,,426.262
Product 9,04-30-2018,,,466.828
Product 9,05-01-2018,,,419.88
Product 9,05-02-2018,,,411.038
Product 9,05-03-2018,55% OFF,P,663.242
Product 9,05-04-2018,55% OFF,P,683.469
Product 9,05-05-2018,55% OFF,P,858.517
Product 9,05-06-2018,,,334.644
Product 9,05-07-2018,,,341.435
Product 9,05-08-2018,,,326.695
Product 9,05-09-2018,,,301.794
Product 9,05-10-2018,,,453.446
Product 9,05-11-2018,,,506.275
Product 9,05-12-2018,,,424.8
Product 9,05-13-2018,,,233.225
Product 9,05-14-2018,,,502.876
Product 9,05-15-2018,,,500.907
Product 9,05-16-2018,,,540.24
Product 9,05-17-2018,,,397.367
Product 9,05-18-2018,,,321.459
Product 9,05-19-2018,,,408.176
Product 9,05-20-2018,,,294.624
Product 9,05-21-2018,,,384.473
Product 9,05-22-2018,,,432.174
Product 9,05-23-2018,,,394.97
Product 9,05-24-2018,,,280.729
Product 9,05-25-2018,,,327.898
Product 9,05-26-2018,,,424.911
Product 9,05-27-2018,,,422.973
Product 9,05-28-2018,,,474.024
Product 9,05-29-2018,,,366.004
Product 9,05-30-2018,,,320.111
Product 9,05-31-2018,,,410.039
Product 9,06-01-2018,,,609.525
Product 9,06-02-2018,,,491.319
Product 9,06-03-2018,,,312.866
Product 9,06-04-2018,,,389.461
Product 9,06-05-2018,,,367.258
Product 9,06-06-2018,,,423.639
Product 9,06-07-2018,,,358.873
Product 9,06-08-2018,,,365.642
Product 9,06-09-2018,,,353.536
Product 9,06-10-2018,,,243.006
Product 9,06-11-2018,,,441.104
Product 9,06-12-2018,,,393.992
Product 9,06-13-2018,,,338.744
Product 9,06-14-2018,,,348.291
Product 9,06-15-2018,,,355.141
Product 9,06-16-2018,,,348.948
Product 9,06-17-2018,,,149.358
Product 9,06-18-2018,,,308.842
Product 9,06-19-2018,,,297.456
Product 9,06-20-2018,,,285.514
Product 9,06-21-2018,,,427.69
Product 9,06-22-2018,,,363.194
Product 9,06-23-2018,,,383.665
Product 9,06-24-2018,,,267.304
Product 9,06-25-2018,,,346.247
Product 9,06-26-2018,,,376.823
Product 9,06-27-2018,,,313.318
Product 9,06-28-2018,,,288.909
Product 9,06-29-2018,,,301.195
Product 9,06-30-2018,,,368.641
Product 9,07-01-2018,,,384.016
Product 9,07-02-2018,,,519.801
Product 9,07-03-2018,,,314.594
Product 9,07-04-2018,,,206.719
Product 9,07-05-2018,,,405.417
Product 9,07-06-2018,,,428.044
Product 9,07-07-2018,,,341.739
Product 9,07-08-2018,,,325.544
Product 9,07-09-2018,,,371.25
Product 9,07-10-2018,,,339.195
Product 9,07-11-2018,,,454.404
Product 9,07-12-2018,,,488.298
Product 9,07-13-2018,,,327.21
Product 9,07-14-2018,,,432.112
Product 9,07-15-2018,,,321.651
Product 9,07-16-2018,,,326.588
Product 9,07-17-2018,,,376.162
Product 9,07-18-2018,,,484.532
Product 9,07-19-2018,,,422.676
Product 9,07-20-2018,,,441.784
Product 9,07-21-2018,,,356.574
Product 9,07-22-2018,,,372.304
Product 9,07-23-2018,,,469.715
Product 9,07-24-2018,,,397.159
Product 9,07-25-2018,,,463.831
Product 9,07-26-2018,,,390.918
Product 9,07-27-2018,,,408.215
Product 9,07-28-2018,,,431.819
Product 9,07-29-2018,,,361.948
Product 9,07-30-2018,,,524.677
Product 9,07-31-2018,,,520.211
Product 9,08-01-2018,,,404.8
Product 9,08-02-2018,,,587.18
Product 9,08-03-2018,,,557.939
Product 9,08-04-2018,,,452.416
Product 9,08-05-2018,,,334.73
Product 9,08-06-2018,,,615.42
Product 9,08-07-2018,,,513.942
Product 9,08-08-2018,,,628.196
Product 9,08-09-2018,,,484.405
Product 9,08-10-2018,,,501.666
Product 9,08-11-2018,,,469.416
Product 9,08-12-2018,,,467.471
Product 9,08-13-2018,,,394.417
Product 9,08-14-2018,,,527.358
Product 9,08-15-2018,,,492.483
Product 9,08-16-2018,$ 3.99,F,739.479
Product 9,08-17-2018,$ 3.99,F,665.312
Product 9,08-18-2018,$ 3.99,F,672.211
Product 9,08-19-2018,$ 3.99,F,546.341
Product 9,08-20-2018,$ 3.99,F,709.43
Product 9,08-21-2018,$ 3.99,F,566.676
Product 9,08-22-2018,$ 3.99,F,706.236
Product 9,08-23-2018,$ 3.99,F,731.321
Product 9,08-24-2018,$ 3.99,F,712.66
Product 9,08-25-2018,$ 3.99,F,796.812
Product 9,08-26-2018,$ 3.99,F,412.569
Product 9,08-27-2018,$ 3.99,F,687.755
Product 9,08-28-2018,$ 3.99,F,683.189
Product 9,08-29-2018,$ 3.99,F,678.108
Product 9,08-30-2018,30% OFF,P,496.914
Product 9,08-31-2018,30% OFF,P,536.134
Product 9,09-01-2018,30% OFF,P,650.785
Product 9,09-02-2018,30% OFF,P,616.112
Product 9,09-03-2018,30% OFF,P,642.442
Product 9,09-04-2018,30% OFF,P,490.613
Product 9,09-05-2018,30% OFF,P,493.518
Product 9,09-06-2018,30% OFF,P,571.001
Product 9,09-07-2018,30% OFF,P,653.414
Product 9,09-08-2018,30% OFF,P,743.101
Product 9,09-09-2018,30% OFF,P,524.834
Product 9,09-10-2018,30% OFF,P,519.04
Product 9,09-11-2018,30% OFF,P,556.086
Product 9,09-12-2018,30% OFF,P,487.402
Product 9,09-13-2018,,,609.142
Product 9,09-14-2018,,,493.386
Product 9,09-15-2018,,,635.019
Product 9,09-16-2018,,,366.786
Product 9,09-17-2018,,,608.16
Product 9,09-18-2018,,,500.268
Product 9,09-19-2018,,,591.691
Product 9,09-20-2018,,,622.694
Product 9,09-21-2018,,,881.301
Product 9,09-22-2018,,,784.099
Product 9,09-23-2018,,,563.659
Product 9,09-24-2018,,,462.652
Product 9,09-25-2018,,,558.58
Product 9,09-26-2018,,,495.803
Product 9,09-27-2018,30% OFF,P,690.426
Product 9,09-28-2018,30% OFF,P,693.862
Product 9,09-29-2018,30% OFF,P,859.314
Product 9,09-30-2018,30% OFF,P,743.264
Product 9,10-01-2018,30% OFF,P,849.872
Product 9,10-02-2018,30% OFF,P,706.635
Product 9,10-03-2018,30% OFF,P,684.8
Product 9,10-04-2018,30% OFF,P,684.829
Product 9,10-05-2018,30% OFF,P,801.856
Product 9,10-06-2018,30% OFF,P,898.604
Product 9,10-07-2018,30% OFF,P,778.82
Product 9,10-08-2018,30% OFF,P,841.28
Product 9,10-09-2018,30% OFF,P,728.122
Product 9,10-10-2018,30% OFF,P,867.099
Product 9,10-11-2018,30% OFF,P,819.634
Product 9,10-12-2018,30% OFF,P,1018.435
Product 9,10-13-2018,30% OFF,P,1375.033
Product 9,10-14-2018,30% OFF,P,836.833
Product 9,10-15-2018,30% OFF,P,949.66
Product 9,10-16-2018,30% OFF,P,1009.945
Product 9,10-17-2018,30% OFF,P,1018.687
Product 9,10-18-2018,30% OFF,P,1125.269
Product 9,10-19-2018,30% OFF,P,1181.382
Product 9,10-20-2018,30% OFF,P,1365.284
Product 9,10-21-2018,$ 2.99,F,2109.105
Product 9,10-22-2018,30% OFF,P,965.66
Product 9,10-23-2018,30% OFF,P,1209.027
Product 9,10-24-2018,30% OFF,P,1159.926
Product 9,10-25-2018,30% OFF,P,1335.437
Product 9,10-26-2018,30% OFF,P,1357.956
Product 9,10-27-2018,30% OFF,P,1343.4
Product 9,10-28-2018,30% OFF,P,1035.89
Product 9,10-29-2018,30% OFF,P,1225.375
Product 9,10-30-2018,30% OFF,P,1053.286
Product 9,10-31-2018,30% OFF,P,612.51
Product 9,11-01-2018,30% OFF,P,472.995
Product 9,11-02-2018,30% OFF,P,586.778
Product 9,11-03-2018,30% OFF,P,609.348
Product 9,11-04-2018,30% OFF,P,447.336
Product 9,11-05-2018,30% OFF,P,438.517
Product 9,11-06-2018,30% OFF,P,417.793
Product 9,11-07-2018,30% OFF,P,415.569
Product 9,11-08-2018,30% OFF,P,428.387
Product 9,11-09-2018,30% OFF,P,418.506
Product 9,11-10-2018,30% OFF,P,595.814
Product 9,11-11-2018,$ 3.99,F,553.225
Product 9,11-12-2018,$ 3.99,F,703.066
Product 9,11-13-2018,$ 3.99,F,607.793
Product 9,11-14-2018,$ 3.99,F,560.084
