,Product,Date,Quantity,Sub Category,Category,UnitRetailPrice,Offer,OfferType,Promo_UnitRetailPrice,Sales_of_Product
33,Product 9,2020-02-03,485.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1935.15
34,Product 9,2020-02-04,467.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1863.33
35,Product 9,2020-02-05,486.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1939.14
36,Product 9,2020-02-06,505.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,2014.95
37,Product 9,2020-02-07,526.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,2098.74
38,Product 9,2020-02-08,577.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,2302.23
39,Product 9,2020-02-09,408.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1627.92
40,Product 9,2020-02-10,474.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1891.26
41,Product 9,2020-02-11,447.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1783.53
42,Product 9,2020-02-12,458.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1827.42
43,Product 9,2020-02-13,468.0,Sub Category 6,Category 3,6.99,,nan,6.99,3271.32
44,Product 9,2020-02-14,482.0,Sub Category 6,Category 3,6.99,,nan,6.99,3369.18
45,Product 9,2020-02-15,528.0,Sub Category 6,Category 3,6.99,,nan,6.99,3690.72
46,Product 9,2020-02-16,353.0,Sub Category 6,Category 3,6.99,,nan,6.99,2467.47
47,Product 9,2020-02-17,415.0,Sub Category 6,Category 3,6.99,,nan,6.99,2900.85
48,Product 9,2020-02-18,386.0,Sub Category 6,Category 3,6.99,,nan,6.99,2698.14
49,Product 9,2020-02-19,396.0,Sub Category 6,Category 3,6.99,,nan,6.99,2768.04
50,Product 9,2020-02-20,406.0,Sub Category 6,Category 3,6.99,,nan,6.99,2837.94
51,Product 9,2020-02-21,421.0,Sub Category 6,Category 3,6.99,,nan,6.99,2942.79
52,Product 9,2020-02-22,469.0,Sub Category 6,Category 3,6.99,,nan,6.99,3278.31
53,Product 9,2020-02-23,299.0,Sub Category 6,Category 3,6.99,,nan,6.99,2090.01
54,Product 9,2020-02-24,365.0,Sub Category 6,Category 3,6.99,,nan,6.99,2551.35
55,Product 9,2020-02-25,341.0,Sub Category 6,Category 3,6.99,,nan,6.99,2383.59
56,Product 9,2020-02-26,357.0,Sub Category 6,Category 3,6.99,,nan,6.99,2495.43
57,Product 9,2020-02-27,373.0,Sub Category 6,Category 3,6.99,,nan,6.99,2607.27
58,Product 9,2020-02-28,395.0,Sub Category 6,Category 3,6.99,,nan,6.99,2761.05
59,Product 9,2020-02-29,450.0,Sub Category 6,Category 3,6.99,,nan,6.99,3145.5
60,Product 9,2020-03-01,286.0,Sub Category 6,Category 3,6.99,,nan,6.99,1999.14
61,Product 9,2020-03-02,359.0,Sub Category 6,Category 3,6.99,,nan,6.99,2509.41
62,Product 9,2020-03-03,342.0,Sub Category 6,Category 3,6.99,,nan,6.99,2390.58
63,Product 9,2020-03-04,363.0,Sub Category 6,Category 3,6.99,,nan,6.99,2537.37
64,Product 9,2020-03-05,384.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,1148.16
65,Product 9,2020-03-06,411.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,1228.89
66,Product 9,2020-03-07,469.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,1402.31
67,Product 9,2020-03-08,307.0,Sub Category 6,Category 3,6.99,,nan,6.99,2145.93
68,Product 9,2020-03-09,382.0,Sub Category 6,Category 3,6.99,,nan,6.99,2670.18
69,Product 9,2020-03-10,365.0,Sub Category 6,Category 3,6.99,,nan,6.99,2551.35
70,Product 9,2020-03-11,385.0,Sub Category 6,Category 3,6.99,,nan,6.99,2691.15
71,Product 9,2020-03-12,406.0,Sub Category 6,Category 3,6.99,,nan,6.99,2837.94
72,Product 9,2020-03-13,430.0,Sub Category 6,Category 3,6.99,,nan,6.99,3005.7
73,Product 9,2020-03-14,486.0,Sub Category 6,Category 3,6.99,,nan,6.99,3397.14
74,Product 9,2020-03-15,321.0,Sub Category 6,Category 3,6.99,,nan,6.99,2243.79
75,Product 9,2020-03-16,392.0,Sub Category 6,Category 3,6.99,,nan,6.99,2740.08
76,Product 9,2020-03-17,371.0,Sub Category 6,Category 3,6.99,,nan,6.99,2593.29
77,Product 9,2020-03-18,387.0,Sub Category 6,Category 3,6.99,,nan,6.99,2705.13
78,Product 9,2020-03-19,404.0,Sub Category 6,Category 3,6.99,,nan,6.99,2823.96
79,Product 9,2020-03-20,424.0,Sub Category 6,Category 3,6.99,,nan,6.99,2963.76
80,Product 9,2020-03-21,476.0,Sub Category 6,Category 3,6.99,,nan,6.99,3327.24
81,Product 9,2020-03-22,308.0,Sub Category 6,Category 3,6.99,,nan,6.99,2152.92
82,Product 9,2020-03-23,377.0,Sub Category 6,Category 3,6.99,,nan,6.99,2635.23
83,Product 9,2020-03-24,354.0,Sub Category 6,Category 3,6.99,,nan,6.99,2474.46
84,Product 9,2020-03-25,369.0,Sub Category 6,Category 3,6.99,,nan,6.99,2579.31
85,Product 9,2020-03-26,385.0,Sub Category 6,Category 3,6.99,,nan,6.99,2691.15
86,Product 9,2020-03-27,406.0,Sub Category 6,Category 3,6.99,,nan,6.99,2837.94
87,Product 9,2020-03-28,459.0,Sub Category 6,Category 3,6.99,,nan,6.99,3208.41
88,Product 9,2020-03-29,292.0,Sub Category 6,Category 3,6.99,,nan,6.99,2041.08
89,Product 9,2020-03-30,363.0,Sub Category 6,Category 3,6.99,,nan,6.99,2537.37
90,Product 9,2020-03-31,343.0,Sub Category 6,Category 3,6.99,,nan,6.99,2397.57
91,Product 11,2020-01-01,86.0,Sub Category 6,Category 3,6.99,,nan,6.99,601.14
92,Product 11,2020-01-02,88.0,Sub Category 6,Category 3,6.99,,nan,6.99,615.12
93,Product 11,2020-01-03,102.0,Sub Category 6,Category 3,6.99,,nan,6.99,712.98
94,Product 11,2020-01-04,130.0,Sub Category 6,Category 3,6.99,,nan,6.99,908.7
95,Product 11,2020-01-05,63.0,Sub Category 6,Category 3,6.99,,nan,6.99,440.37
96,Product 11,2020-01-06,67.0,Sub Category 6,Category 3,6.99,,nan,6.99,468.33
97,Product 11,2020-01-07,55.0,Sub Category 6,Category 3,6.99,,nan,6.99,384.45
98,Product 11,2020-01-08,63.0,Sub Category 6,Category 3,6.99,,nan,6.99,440.37
99,Product 11,2020-01-09,70.0,Sub Category 6,Category 3,6.99,,nan,6.99,489.3
100,Product 11,2020-01-10,89.0,Sub Category 6,Category 3,6.99,,nan,6.99,622.11
101,Product 11,2020-01-11,121.0,Sub Category 6,Category 3,6.99,,nan,6.99,845.79
102,Product 11,2020-01-12,59.0,Sub Category 6,Category 3,6.99,,nan,6.99,412.41
103,Product 11,2020-01-13,67.0,Sub Category 6,Category 3,6.99,,nan,6.99,468.33
104,Product 11,2020-01-14,58.0,Sub Category 6,Category 3,6.99,,nan,6.99,405.42
105,Product 11,2020-01-15,71.0,Sub Category 6,Category 3,6.99,,nan,6.99,496.29
106,Product 11,2020-01-16,81.0,Sub Category 6,Category 3,6.99,,nan,6.99,566.19
107,Product 11,2020-01-17,103.0,Sub Category 6,Category 3,6.99,,nan,6.99,719.97
108,Product 11,2020-01-18,139.0,Sub Category 6,Category 3,6.99,,nan,6.99,971.61
109,Product 11,2020-01-19,80.0,Sub Category 6,Category 3,6.99,,nan,6.99,559.2
110,Product 11,2020-01-20,90.0,Sub Category 6,Category 3,6.99,,nan,6.99,629.1
111,Product 11,2020-01-21,84.0,Sub Category 6,Category 3,6.99,,nan,6.99,587.16
112,Product 11,2020-01-22,98.0,Sub Category 6,Category 3,6.99,,nan,6.99,685.02
113,Product 11,2020-01-23,110.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,438.9
114,Product 11,2020-01-24,134.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,534.66
115,Product 11,2020-01-25,170.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,678.3
116,Product 11,2020-01-26,111.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,442.89
117,Product 11,2020-01-27,121.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,482.79
118,Product 11,2020-01-28,114.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,454.86
119,Product 11,2020-01-29,127.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,506.73
120,Product 11,2020-01-30,137.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,409.63
121,Product 11,2020-01-31,158.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,472.42
122,Product 11,2020-02-01,191.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,571.09
123,Product 11,2020-02-02,129.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,514.71
124,Product 11,2020-02-03,135.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,538.65
125,Product 11,2020-02-04,124.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,494.76
126,Product 11,2020-02-05,133.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,530.67
127,Product 11,2020-02-06,139.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,554.61
128,Product 11,2020-02-07,156.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,622.44
129,Product 11,2020-02-08,185.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,738.15
130,Product 11,2020-02-09,118.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,470.82
131,Product 11,2020-02-10,121.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,482.79
132,Product 11,2020-02-11,106.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,422.94
133,Product 11,2020-02-12,112.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,446.88
134,Product 11,2020-02-13,115.0,Sub Category 6,Category 3,6.99,,nan,6.99,803.85
135,Product 11,2020-02-14,129.0,Sub Category 6,Category 3,6.99,,nan,6.99,901.71
136,Product 11,2020-02-15,157.0,Sub Category 6,Category 3,6.99,,nan,6.99,1097.43
137,Product 11,2020-02-16,89.0,Sub Category 6,Category 3,6.99,,nan,6.99,622.11
138,Product 11,2020-02-17,91.0,Sub Category 6,Category 3,6.99,,nan,6.99,636.09
139,Product 11,2020-02-18,77.0,Sub Category 6,Category 3,6.99,,nan,6.99,538.23
140,Product 11,2020-02-19,83.0,Sub Category 6,Category 3,6.99,,nan,6.99,580.17
141,Product 11,2020-02-20,87.0,Sub Category 6,Category 3,6.99,,nan,6.99,608.13
142,Product 11,2020-02-21,103.0,Sub Category 6,Category 3,6.99,,nan,6.99,719.97
143,Product 11,2020-02-22,132.0,Sub Category 6,Category 3,6.99,,nan,6.99,922.68
144,Product 11,2020-02-23,67.0,Sub Category 6,Category 3,6.99,,nan,6.99,468.33
145,Product 11,2020-02-24,72.0,Sub Category 6,Category 3,6.99,,nan,6.99,503.28
146,Product 11,2020-02-25,61.0,Sub Category 6,Category 3,6.99,,nan,6.99,426.39
147,Product 11,2020-02-26,71.0,Sub Category 6,Category 3,6.99,,nan,6.99,496.29
148,Product 11,2020-02-27,78.0,Sub Category 6,Category 3,6.99,,nan,6.99,545.22
149,Product 11,2020-02-28,98.0,Sub Category 6,Category 3,6.99,,nan,6.99,685.02
150,Product 11,2020-02-29,131.0,Sub Category 6,Category 3,6.99,,nan,6.99,915.69
151,Product 11,2020-03-01,69.0,Sub Category 6,Category 3,6.99,,nan,6.99,482.31
152,Product 11,2020-03-02,77.0,Sub Category 6,Category 3,6.99,,nan,6.99,538.23
153,Product 11,2020-03-03,69.0,Sub Category 6,Category 3,6.99,,nan,6.99,482.31
154,Product 11,2020-03-04,81.0,Sub Category 6,Category 3,6.99,,nan,6.99,566.19
155,Product 11,2020-03-05,91.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,272.09
156,Product 11,2020-03-06,112.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,334.88
157,Product 11,2020-03-07,146.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,436.54
158,Product 11,2020-03-08,84.0,Sub Category 6,Category 3,6.99,,nan,6.99,587.16
159,Product 11,2020-03-09,92.0,Sub Category 6,Category 3,6.99,,nan,6.99,643.08
160,Product 11,2020-03-10,83.0,Sub Category 6,Category 3,6.99,,nan,6.99,580.17
161,Product 11,2020-03-11,94.0,Sub Category 6,Category 3,6.99,,nan,6.99,657.06
162,Product 11,2020-03-12,103.0,Sub Category 6,Category 3,6.99,,nan,6.99,719.97
163,Product 11,2020-03-13,122.0,Sub Category 6,Category 3,6.99,,nan,6.99,852.78
164,Product 11,2020-03-14,153.0,Sub Category 6,Category 3,6.99,,nan,6.99,1069.47
165,Product 11,2020-03-15,90.0,Sub Category 6,Category 3,6.99,,nan,6.99,629.1
166,Product 11,2020-03-16,95.0,Sub Category 6,Category 3,6.99,,nan,6.99,664.05
167,Product 11,2020-03-17,83.0,Sub Category 6,Category 3,6.99,,nan,6.99,580.17
168,Product 11,2020-03-18,91.0,Sub Category 6,Category 3,6.99,,nan,6.99,636.09
169,Product 11,2020-03-19,96.0,Sub Category 6,Category 3,6.99,,nan,6.99,671.04
170,Product 11,2020-03-20,113.0,Sub Category 6,Category 3,6.99,,nan,6.99,789.87
171,Product 11,2020-03-21,142.0,Sub Category 6,Category 3,6.99,,nan,6.99,992.58
172,Product 11,2020-03-22,76.0,Sub Category 6,Category 3,6.99,,nan,6.99,531.24
173,Product 11,2020-03-23,79.0,Sub Category 6,Category 3,6.99,,nan,6.99,552.21
174,Product 11,2020-03-24,66.0,Sub Category 6,Category 3,6.99,,nan,6.99,461.34
175,Product 11,2020-03-25,73.0,Sub Category 6,Category 3,6.99,,nan,6.99,510.27
176,Product 11,2020-03-26,78.0,Sub Category 6,Category 3,6.99,,nan,6.99,545.22
177,Product 11,2020-03-27,94.0,Sub Category 6,Category 3,6.99,,nan,6.99,657.06
178,Product 11,2020-03-28,123.0,Sub Category 6,Category 3,6.99,,nan,6.99,859.77
179,Product 11,2020-03-29,58.0,Sub Category 6,Category 3,6.99,,nan,6.99,405.42
180,Product 11,2020-03-30,62.0,Sub Category 6,Category 3,6.99,,nan,6.99,433.38
181,Product 11,2020-03-31,51.0,Sub Category 6,Category 3,6.99,,nan,6.99,356.49
182,Product 20,2020-01-01,167.0,Sub Category 11,Category 6,7.99,,nan,7.99,1334.33
183,Product 20,2020-01-02,187.0,Sub Category 11,Category 6,7.99,,nan,7.99,1494.13
184,Product 20,2020-01-03,224.0,Sub Category 11,Category 6,7.99,,nan,7.99,1789.76
185,Product 20,2020-01-04,271.0,Sub Category 11,Category 6,7.99,,nan,7.99,2165.29
186,Product 20,2020-01-05,178.0,Sub Category 11,Category 6,7.99,,nan,7.99,1422.22
187,Product 20,2020-01-06,214.0,Sub Category 11,Category 6,7.99,,nan,7.99,1709.86
188,Product 20,2020-01-07,188.0,Sub Category 11,Category 6,7.99,,nan,7.99,1502.12
189,Product 20,2020-01-08,200.0,Sub Category 11,Category 6,7.99,,nan,7.99,1598.0
190,Product 20,2020-01-09,216.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1208.09
191,Product 20,2020-01-10,248.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1387.06
192,Product 20,2020-01-11,290.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1621.97
193,Product 20,2020-01-12,193.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1079.45
194,Product 20,2020-01-13,224.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1252.83
195,Product 20,2020-01-14,194.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1085.04
196,Product 20,2020-01-15,202.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1129.79
197,Product 20,2020-01-16,215.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1202.5
198,Product 20,2020-01-17,244.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1364.69
199,Product 20,2020-01-18,284.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1588.41
200,Product 20,2020-01-19,185.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1034.71
201,Product 20,2020-01-20,216.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1208.09
202,Product 20,2020-01-21,186.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1040.3
203,Product 20,2020-01-22,195.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1090.64
204,Product 20,2020-01-23,210.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1174.53
205,Product 20,2020-01-24,242.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1353.51
206,Product 20,2020-01-25,284.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1588.41
207,Product 20,2020-01-26,189.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1057.08
208,Product 20,2020-01-27,224.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1252.83
209,Product 20,2020-01-28,198.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1107.41
210,Product 20,2020-01-29,211.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1180.12
211,Product 20,2020-01-30,230.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1286.39
212,Product 20,2020-01-31,266.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1487.74
213,Product 20,2020-02-01,313.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1750.61
214,Product 20,2020-02-02,220.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1230.46
215,Product 20,2020-02-03,258.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1442.99
216,Product 20,2020-02-04,235.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1314.36
217,Product 20,2020-02-05,249.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1392.66
218,Product 20,2020-02-06,269.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1504.52
219,Product 20,2020-02-07,305.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1705.87
220,Product 20,2020-02-08,351.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1963.14
221,Product 20,2020-02-09,258.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1442.99
222,Product 20,2020-02-10,293.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1638.75
223,Product 20,2020-02-11,267.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1493.33
224,Product 20,2020-02-12,279.0,Sub Category 11,Category 6,7.99,30% OFF,P,5.593000000000001,1560.45
225,Product 20,2020-02-13,294.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1409.44
226,Product 20,2020-02-14,326.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1562.84
227,Product 20,2020-02-15,368.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1764.19
228,Product 20,2020-02-16,270.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1294.38
229,Product 20,2020-02-17,300.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1438.2
230,Product 20,2020-02-18,269.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1289.59
231,Product 20,2020-02-19,276.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1323.14
232,Product 20,2020-02-20,287.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1375.88
233,Product 20,2020-02-21,315.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1510.11
234,Product 20,2020-02-22,353.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1692.28
235,Product 20,2020-02-23,251.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1203.29
236,Product 20,2020-02-24,279.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1337.53
237,Product 20,2020-02-25,246.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1179.32
238,Product 20,2020-02-26,251.0,Sub Category 11,Category 6,7.99,40% OFF,P,4.7940000000000005,1203.29
239,Product 20,2020-02-27,261.0,Sub Category 11,Category 6,7.99,,nan,7.99,2085.39
240,Product 20,2020-02-28,288.0,Sub Category 11,Category 6,7.99,,nan,7.99,2301.12
241,Product 20,2020-02-29,326.0,Sub Category 11,Category 6,7.99,,nan,7.99,2604.74
242,Product 20,2020-03-01,224.0,Sub Category 11,Category 6,7.99,,nan,7.99,1789.76
243,Product 20,2020-03-02,253.0,Sub Category 11,Category 6,7.99,,nan,7.99,2021.47
244,Product 20,2020-03-03,221.0,Sub Category 11,Category 6,7.99,,nan,7.99,1765.79
245,Product 20,2020-03-04,227.0,Sub Category 11,Category 6,7.99,,nan,7.99,1813.73
246,Product 20,2020-03-05,238.0,Sub Category 11,Category 6,7.99,,nan,7.99,1901.62
247,Product 20,2020-03-06,267.0,Sub Category 11,Category 6,7.99,,nan,7.99,2133.33
248,Product 20,2020-03-07,306.0,Sub Category 11,Category 6,7.99,,nan,7.99,2444.94
249,Product 20,2020-03-08,207.0,Sub Category 11,Category 6,7.99,,nan,7.99,1653.93
250,Product 20,2020-03-09,237.0,Sub Category 11,Category 6,7.99,,nan,7.99,1893.63
251,Product 20,2020-03-10,206.0,Sub Category 11,Category 6,7.99,,nan,7.99,1645.94
252,Product 20,2020-03-11,214.0,Sub Category 11,Category 6,7.99,,nan,7.99,1709.86
253,Product 20,2020-03-12,227.0,Sub Category 11,Category 6,7.99,,nan,7.99,1813.73
254,Product 20,2020-03-13,257.0,Sub Category 11,Category 6,7.99,,nan,7.99,2053.43
255,Product 20,2020-03-14,296.0,Sub Category 11,Category 6,7.99,,nan,7.99,2365.04
256,Product 20,2020-03-15,197.0,Sub Category 11,Category 6,7.99,,nan,7.99,1574.03
257,Product 20,2020-03-16,228.0,Sub Category 11,Category 6,7.99,,nan,7.99,1821.72
258,Product 20,2020-03-17,197.0,Sub Category 11,Category 6,7.99,,nan,7.99,1574.03
259,Product 20,2020-03-18,204.0,Sub Category 11,Category 6,7.99,,nan,7.99,1629.96
260,Product 20,2020-03-19,217.0,Sub Category 11,Category 6,7.99,,nan,7.99,1733.83
261,Product 20,2020-03-20,246.0,Sub Category 11,Category 6,7.99,,nan,7.99,1965.54
262,Product 20,2020-03-21,285.0,Sub Category 11,Category 6,7.99,,nan,7.99,2277.15
263,Product 20,2020-03-22,185.0,Sub Category 11,Category 6,7.99,,nan,7.99,1478.15
264,Product 20,2020-03-23,215.0,Sub Category 11,Category 6,7.99,,nan,7.99,1717.85
265,Product 20,2020-03-24,184.0,Sub Category 11,Category 6,7.99,,nan,7.99,1470.16
266,Product 20,2020-03-25,191.0,Sub Category 11,Category 6,7.99,,nan,7.99,1526.09
267,Product 20,2020-03-26,203.0,Sub Category 11,Category 6,7.99,,nan,7.99,1621.97
268,Product 20,2020-03-27,233.0,Sub Category 11,Category 6,7.99,,nan,7.99,1861.67
269,Product 20,2020-03-28,272.0,Sub Category 11,Category 6,7.99,,nan,7.99,2173.28
270,Product 20,2020-03-29,173.0,Sub Category 11,Category 6,7.99,,nan,7.99,1382.27
271,Product 20,2020-03-30,204.0,Sub Category 11,Category 6,7.99,,nan,7.99,1629.96
272,Product 20,2020-03-31,174.0,Sub Category 11,Category 6,7.99,,nan,7.99,1390.26
273,Product 22,2020-01-01,-22.0,Sub Category 12,Category 6,3.99,,nan,3.99,-87.78
274,Product 22,2020-01-02,133.0,Sub Category 12,Category 6,3.99,,nan,3.99,530.67
275,Product 22,2020-01-03,324.0,Sub Category 12,Category 6,3.99,,nan,3.99,1292.76
276,Product 22,2020-01-04,537.0,Sub Category 12,Category 6,3.99,,nan,3.99,2142.63
277,Product 22,2020-01-05,-49.0,Sub Category 12,Category 6,3.99,,nan,3.99,-195.51
278,Product 22,2020-01-06,34.0,Sub Category 12,Category 6,3.99,,nan,3.99,135.66
